tag,step,value
ema_distill/gamma,6052,0.30000001192092896
ema_distill/total,6052,0.004244353622198105
ema_distill/l_si,6302,0.011684304103255272
ema_distill/l_struct,6302,0.010716843418776989
ema_distill/keep_ratio,6302,0.8947706818580627
ema_distill/keep_ratio_canopy,6302,0.8783079385757446
ema_distill/gamma,6302,0.30000001192092896
ema_distill/total,6302,0.005112817976623774
ema_distill/l_si,6408,0.011869864538311958
ema_distill/l_struct,6408,0.009547446854412556
ema_distill/keep_ratio,6408,0.8871975541114807
ema_distill/keep_ratio_canopy,6408,0.8728672862052917
ema_distill/gamma,6408,0.30000001192092896
ema_distill/total,6408,0.0049930764362216
ema_distill/l_si,6658,0.009250549599528313
ema_distill/l_struct,6658,0.007852899841964245
ema_distill/keep_ratio,6658,0.8865424394607544
ema_distill/keep_ratio_canopy,6658,0.8687275648117065
ema_distill/gamma,6658,0.30000001192092896
ema_distill/total,6658,0.003953100182116032
ema_distill/l_si,6764,0.009620350785553455
ema_distill/l_struct,6764,0.009054000489413738
ema_distill/keep_ratio,6764,0.8841790556907654
ema_distill/keep_ratio_canopy,6764,0.8545045256614685
ema_distill/gamma,6764,0.30000001192092896
ema_distill/total,6764,0.004244205541908741
ema_distill/l_si,7014,0.007272232323884964
ema_distill/l_struct,7014,0.006439745891839266
ema_distill/keep_ratio,7014,0.876970112323761
ema_distill/keep_ratio_canopy,7014,0.8557358980178833
ema_distill/gamma,7014,0.30000001192092896
ema_distill/total,7014,0.003147631650790572
ema_distill/l_si,7120,0.010517939925193787
ema_distill/l_struct,7120,0.008068104274570942
ema_distill/keep_ratio,7120,0.8857889771461487
ema_distill/keep_ratio_canopy,7120,0.873545229434967
ema_distill/gamma,7120,0.30000001192092896
ema_distill/total,7120,0.004365597851574421
ema_distill/l_si,7370,0.008729568682610989
ema_distill/l_struct,7370,0.006161585450172424
ema_distill/keep_ratio,7370,0.879071056842804
ema_distill/keep_ratio_canopy,7370,0.8635854125022888
ema_distill/gamma,7370,0.30000001192092896
ema_distill/total,7370,0.003543108468875289
ema_distill/l_si,7476,0.008871810510754585
ema_distill/l_struct,7476,0.007758267689496279
ema_distill/keep_ratio,7476,0.8791639804840088
ema_distill/keep_ratio_canopy,7476,0.8792272806167603
ema_distill/gamma,7476,0.30000001192092896
ema_distill/total,7476,0.0038252833765000105
ema_distill/l_si,7726,0.009078570641577244
ema_distill/l_struct,7726,0.007796725258231163
ema_distill/keep_ratio,7726,0.8859171867370605
ema_distill/keep_ratio_canopy,7726,0.8674591183662415
ema_distill/gamma,7726,0.30000001192092896
ema_distill/total,7726,0.0038930801674723625
ema_distill/l_si,7832,0.00922936201095581
ema_distill/l_struct,7832,0.008334712125360966
ema_distill/keep_ratio,7832,0.8881856203079224
ema_distill/keep_ratio_canopy,7832,0.8707435131072998
ema_distill/gamma,7832,0.30000001192092896
ema_distill/total,7832,0.004019015468657017
ema_distill/l_si,8000,0.008439864031970501
ema_distill/l_struct,8000,0.007951798848807812
ema_distill/keep_ratio,8000,0.8802734613418579
ema_distill/keep_ratio_canopy,8000,0.8589708805084229
ema_distill/gamma,8000,0.30000001192092896
ema_distill/total,8000,0.0037247289437800646
ema_distill/l_si,8082,0.009493147023022175
ema_distill/l_struct,8082,0.008667349815368652
ema_distill/keep_ratio,8082,0.8788425326347351
ema_distill/keep_ratio_canopy,8082,0.8750381469726562
ema_distill/gamma,8082,0.30000001192092896
ema_distill/total,8082,0.00414804695174098
ema_distill/l_si,8188,0.010414132848381996
ema_distill/l_struct,8188,0.007938130758702755
ema_distill/keep_ratio,8188,0.8791985511779785
ema_distill/keep_ratio_canopy,8188,0.8648067116737366
ema_distill/gamma,8188,0.30000001192092896
ema_distill/total,8188,0.004314959980547428
ema_distill/l_si,8438,0.007090617902576923
ema_distill/l_struct,8438,0.005847756285220385
ema_distill/keep_ratio,8438,0.8912156820297241
ema_distill/keep_ratio_canopy,8438,0.8848093748092651
ema_distill/gamma,8438,0.30000001192092896
ema_distill/total,8438,0.003004348836839199
ema_distill/l_si,8544,0.00947911012917757
ema_distill/l_struct,8544,0.008083156310021877
ema_distill/keep_ratio,8544,0.8872151970863342
ema_distill/keep_ratio_canopy,8544,0.8773650527000427
ema_distill/gamma,8544,0.30000001192092896
ema_distill/total,8544,0.004056206438690424
ema_distill/l_si,8794,0.01055665872991085
ema_distill/l_struct,8794,0.00921267457306385
ema_distill/keep_ratio,8794,0.8874444365501404
ema_distill/keep_ratio_canopy,8794,0.8793855309486389
ema_distill/gamma,8794,0.30000001192092896
ema_distill/total,8794,0.00454889889806509
ema_distill/l_si,8900,0.00889495201408863
ema_distill/l_struct,8900,0.0072358655743300915
ema_distill/keep_ratio,8900,0.8797058463096619
ema_distill/keep_ratio_canopy,8900,0.8756678700447083
ema_distill/gamma,8900,0.30000001192092896
ema_distill/total,8900,0.0037538656033575535
ema_distill/l_si,9150,0.009083135053515434
ema_distill/l_struct,9150,0.008273954503238201
ema_distill/keep_ratio,9150,0.8880093097686768
ema_distill/keep_ratio_canopy,9150,0.8767679333686829
ema_distill/gamma,9150,0.30000001192092896
ema_distill/total,9150,0.003966033924371004
ema_distill/l_si,9256,0.009071063250303268
ema_distill/l_struct,9256,0.008567406795918941
ema_distill/keep_ratio,9256,0.889172375202179
ema_distill/keep_ratio_canopy,9256,0.8688734769821167
ema_distill/gamma,9256,0.30000001192092896
ema_distill/total,9256,0.004006430506706238
ema_distill/l_si,9506,0.007728228345513344
ema_distill/l_struct,9506,0.0066338758915662766
ema_distill/keep_ratio,9506,0.8875264525413513
ema_distill/keep_ratio_canopy,9506,0.8702260851860046
ema_distill/gamma,9506,0.30000001192092896
ema_distill/total,9506,0.003313550027087331
ema_distill/l_si,9612,0.008137613534927368
ema_distill/l_struct,9612,0.007299436256289482
ema_distill/keep_ratio,9612,0.886796772480011
ema_distill/keep_ratio_canopy,9612,0.8726977705955505
ema_distill/gamma,9612,0.30000001192092896
ema_distill/total,9612,0.0035361996851861477
ema_distill/l_si,9862,0.00719068106263876
ema_distill/l_struct,9862,0.006672453135251999
ema_distill/keep_ratio,9862,0.888439953327179
ema_distill/keep_ratio_canopy,9862,0.8903073072433472
ema_distill/gamma,9862,0.30000001192092896
ema_distill/total,9862,0.0031580724753439426
ema_distill/l_si,9968,0.007503163535147905
ema_distill/l_struct,9968,0.006991660222411156
ema_distill/keep_ratio,9968,0.892582893371582
ema_distill/keep_ratio_canopy,9968,0.8904610872268677
ema_distill/gamma,9968,0.30000001192092896
ema_distill/total,9968,0.003299698466435075
ema_distill/l_si,10000,0.008069046773016453
ema_distill/l_struct,10000,0.007377214264124632
ema_distill/keep_ratio,10000,0.8867947459220886
ema_distill/keep_ratio_canopy,10000,0.8873854875564575
ema_distill/gamma,10000,0.30000001192092896
ema_distill/total,10000,0.0035272964742034674
ema_distill/l_si,10218,0.009867135435342789
ema_distill/l_struct,10218,0.008986911736428738
ema_distill/keep_ratio,10218,0.8864590525627136
ema_distill/keep_ratio_canopy,10218,0.8852056264877319
ema_distill/gamma,10218,0.30000001192092896
ema_distill/total,10218,0.004308177623897791
ema_distill/l_si,10324,0.009035106748342514
ema_distill/l_struct,10324,0.00876967329531908
ema_distill/keep_ratio,10324,0.8740804195404053
ema_distill/keep_ratio_canopy,10324,0.857255756855011
ema_distill/gamma,10324,0.30000001192092896
ema_distill/total,10324,0.0040259831584990025
ema_distill/l_si,10574,0.008102698251605034
ema_distill/l_struct,10574,0.007102060131728649
ema_distill/keep_ratio,10574,0.8840373158454895
ema_distill/keep_ratio_canopy,10574,0.8807976245880127
ema_distill/gamma,10574,0.30000001192092896
ema_distill/total,10574,0.0034961188212037086
